DateTime,hour,BA_total
2018-01-01T00:00:00.0,0,53687.473
2018-01-01T01:00:00.0,1,52889.168
2018-01-01T02:00:00.0,2,52022.8
2018-01-01T03:00:00.0,3,51157.402
2018-01-01T04:00:00.0,4,50745.27
2018-01-01T05:00:00.0,5,50582.97
2018-01-01T06:00:00.0,6,50699.58
2018-01-01T07:00:00.0,7,50811.016
2018-01-01T08:00:00.0,8,51228.934
2018-01-01T09:00:00.0,9,52158.605
2018-01-01T10:00:00.0,10,53510.668
2018-01-01T11:00:00.0,11,54709.176
2018-01-01T12:00:00.0,12,55260.152
2018-01-01T13:00:00.0,13,55814.418
2018-01-01T14:00:00.0,14,56115.23
2018-01-01T15:00:00.0,15,55729.277
2018-01-01T16:00:00.0,16,54888.973
2018-01-01T17:00:00.0,17,53525.36
2018-01-01T18:00:00.0,18,52135.625
2018-01-01T19:00:00.0,19,51089.938
2018-01-01T20:00:00.0,20,50833.254
2018-01-01T21:00:00.0,21,52073.26
2018-01-01T22:00:00.0,22,55731.58
2018-01-01T23:00:00.0,23,57228.027
2018-01-02T00:00:00.0,0,57304.348
2018-01-02T01:00:00.0,1,57080.42
2018-01-02T02:00:00.0,2,55684.324
2018-01-02T03:00:00.0,3,53710.965
2018-01-02T04:00:00.0,4,51985.47
2018-01-02T05:00:00.0,5,50886.566
2018-01-02T06:00:00.0,6,50361.746
2018-01-02T07:00:00.0,7,50245.156
2018-01-02T08:00:00.0,8,50614.285
2018-01-02T09:00:00.0,9,51913.234
2018-01-02T10:00:00.0,10,54458.13
2018-01-02T11:00:00.0,11,57013.906
2018-01-02T12:00:00.0,12,58020.203
2018-01-02T13:00:00.0,13,58612.77
2018-01-02T14:00:00.0,14,59101.23
2018-01-02T15:00:00.0,15,59083.47
2018-01-02T16:00:00.0,16,58413.965
2018-01-02T17:00:00.0,17,57671.387
2018-01-02T18:00:00.0,18,57136.043
2018-01-02T19:00:00.0,19,56931.42
2018-01-02T20:00:00.0,20,57247.88
2018-01-02T21:00:00.0,21,58493.793
2018-01-02T22:00:00.0,22,61227.05
2018-01-02T23:00:00.0,23,62006.426
2018-01-03T00:00:00.0,0,61617.457
2018-01-03T01:00:00.0,1,60635.38
2018-01-03T02:00:00.0,2,58624.113
2018-01-03T03:00:00.0,3,56163.26
2018-01-03T04:00:00.0,4,54507.656
2018-01-03T05:00:00.0,5,53809.484
2018-01-03T06:00:00.0,6,53711.312
2018-01-03T07:00:00.0,7,54147.562
2018-01-03T08:00:00.0,8,55067.707
2018-01-03T09:00:00.0,9,56766.73
2018-01-03T10:00:00.0,10,59794.047
2018-01-03T11:00:00.0,11,62592.457
2018-01-03T12:00:00.0,12,62527.234
2018-01-03T13:00:00.0,13,60341.684
2018-01-03T14:00:00.0,14,57474.746
2018-01-03T15:00:00.0,15,54254.86
2018-01-03T16:00:00.0,16,51127.01
2018-01-03T17:00:00.0,17,48207.92
2018-01-03T18:00:00.0,18,45848.957
2018-01-03T19:00:00.0,19,43885.043
2018-01-03T20:00:00.0,20,42971.09
2018-01-03T21:00:00.0,21,43655.92
2018-01-03T22:00:00.0,22,47538.86
2018-01-03T23:00:00.0,23,50126.844
2018-01-04T00:00:00.0,0,51028.316
2018-01-04T01:00:00.0,1,51428.535
2018-01-04T02:00:00.0,2,50596.004
2018-01-04T03:00:00.0,3,48942.613
