DateTimeTexas,DateTime,hour,BA_total,load_check,lower_load,upper_load,quantile
2017-12-31T18:00:00.0,2018-01-01T00:00:00.0,0,53687.473,1.0,48101.316,58772.562,0.5434882474939504
2017-12-31T19:00:00.0,2018-01-01T01:00:00.0,1,52889.168,1.0,43779.086,61488.445,0.5267475626595253
2017-12-31T20:00:00.0,2018-01-01T02:00:00.0,2,52022.8,1.0,43928.29,57568.375,0.6681106941372372
2017-12-31T21:00:00.0,2018-01-01T03:00:00.0,3,51157.402,1.0,45707.555,56898.953,0.4758262985400739
2017-12-31T22:00:00.0,2018-01-01T04:00:00.0,4,50745.27,1.0,42883.586,56980.715,0.6057826180884719
2017-12-31T23:00:00.0,2018-01-01T05:00:00.0,5,50582.97,1.0,42203.363,56150.14,0.6805048111105847
2018-01-01T00:00:00.0,2018-01-01T06:00:00.0,6,50699.58,1.0,47432.883,51714.22,0.889450980392157
2018-01-01T01:00:00.0,2018-01-01T07:00:00.0,7,50811.016,1.0,46211.254,54610.234,0.5877349689011755
2018-01-01T02:00:00.0,2018-01-01T08:00:00.0,8,51228.934,1.0,46036.934,55972.734,0.541786390466645
2018-01-01T03:00:00.0,2018-01-01T09:00:00.0,9,52158.605,1.0,49058.418,55201.895,0.5085943447525834
2018-01-01T04:00:00.0,2018-01-01T10:00:00.0,10,53510.668,1.0,51288.66,57456.11,0.25783892454886775
2018-01-01T05:00:00.0,2018-01-01T11:00:00.0,11,54709.176,1.0,51468.633,57947.652,0.500295373155709
2018-01-01T06:00:00.0,2018-01-01T12:00:00.0,12,55260.152,1.0,54213.695,58512.99,0.11633555891492403
2018-01-01T07:00:00.0,2018-01-01T13:00:00.0,13,55814.418,1.0,52965.344,59010.684,0.4468611829101409
2018-01-01T08:00:00.0,2018-01-01T14:00:00.0,14,56115.23,1.0,52506.89,58004.523,0.7664900920580443
2018-01-01T09:00:00.0,2018-01-01T15:00:00.0,15,55729.277,1.0,52754.85,57220.49,0.7801403263119454
2018-01-01T10:00:00.0,2018-01-01T16:00:00.0,16,54888.973,1.0,51625.043,55602.65,0.9319947277224053
2018-01-01T11:00:00.0,2018-01-01T17:00:00.0,17,53525.36,1.0,46548.03,57215.477,0.763248006433023
2018-01-01T12:00:00.0,2018-01-01T18:00:00.0,18,52135.625,1.0,48144.51,56133.555,0.49920780578464324
2018-01-01T13:00:00.0,2018-01-01T19:00:00.0,19,51089.938,1.0,48971.984,55306.39,0.2204517820168288
2018-01-01T14:00:00.0,2018-01-01T20:00:00.0,20,50833.254,1.0,47289.13,55804.35,0.3483320248807296
2018-01-01T15:00:00.0,2018-01-01T21:00:00.0,21,52073.26,1.0,50598.355,58915.953,0.06676841359773383
2018-01-01T16:00:00.0,2018-01-01T22:00:00.0,22,55731.58,1.0,52613.508,59424.453,0.42218046521587876
2018-01-01T17:00:00.0,2018-01-01T23:00:00.0,23,57228.027,1.0,53124.59,60396.562,0.6175542348423706
2018-01-01T18:00:00.0,2018-01-02T00:00:00.0,0,57304.348,1.0,50671.703,62376.023,0.6218113298561905
2018-01-01T19:00:00.0,2018-01-02T01:00:00.0,1,57080.42,1.0,43591.086,64262.93,0.7610596713511121
2018-01-01T20:00:00.0,2018-01-02T02:00:00.0,2,55684.324,1.0,43297.805,61084.926,0.8195492879084056
2018-01-01T21:00:00.0,2018-01-02T03:00:00.0,3,53710.965,1.0,41407.55,58615.68,0.8413729910786174
2018-01-01T22:00:00.0,2018-01-02T04:00:00.0,4,51985.47,1.0,40580.184,58041.137,0.7619772877997659
2018-01-01T23:00:00.0,2018-01-02T05:00:00.0,5,50886.566,1.0,43685.72,56786.07,0.5913742979848029
2018-01-02T00:00:00.0,2018-01-02T06:00:00.0,6,50361.746,1.0,47316.37,52071.59,0.7432175169640606
2018-01-02T01:00:00.0,2018-01-02T07:00:00.0,7,50245.156,1.0,43945.934,53492.08,0.7714945922244961
2018-01-02T02:00:00.0,2018-01-02T08:00:00.0,8,50614.285,1.0,44561.586,55450.734,0.6024993007683331
2018-01-02T03:00:00.0,2018-01-02T09:00:00.0,9,51913.234,1.0,47889.957,55128.758,0.6024032964585334
2018-01-02T04:00:00.0,2018-01-02T10:00:00.0,10,54458.13,1.0,49110.055,56868.39,0.8108034571062736
2018-01-02T05:00:00.0,2018-01-02T11:00:00.0,11,57013.906,1.0,52042.37,57708.25,0.960421358242868
2018-01-02T06:00:00.0,2018-01-02T12:00:00.0,12,58020.203,1.0,55258.406,59033.117,0.8594335383492011
2018-01-02T07:00:00.0,2018-01-02T13:00:00.0,13,58612.77,1.0,54065.52,61423.06,0.7085571531429309
2018-01-02T08:00:00.0,2018-01-02T14:00:00.0,14,59101.23,1.0,53459.016,59560.582,0.9755089192025186
2018-01-02T09:00:00.0,2018-01-02T15:00:00.0,15,59083.47,1.0,53863.605,59380.664,0.980805892762124
2018-01-02T10:00:00.0,2018-01-02T16:00:00.0,16,58413.965,0.0,53533.508,57659.938,1.0
2018-01-02T11:00:00.0,2018-01-02T17:00:00.0,17,57671.387,1.0,49105.93,59000.105,0.955354684771549
2018-01-02T12:00:00.0,2018-01-02T18:00:00.0,18,57136.043,0.0,45964.707,55132.652,1.0
2018-01-02T13:00:00.0,2018-01-02T19:00:00.0,19,56931.42,0.0,47509.402,53104.832,1.0
2018-01-02T14:00:00.0,2018-01-02T20:00:00.0,20,57247.88,0.0,47791.312,54597.543,1.0
2018-01-02T15:00:00.0,2018-01-02T21:00:00.0,21,58493.793,0.0,50713.723,56947.438,1.0
2018-01-02T16:00:00.0,2018-01-02T22:00:00.0,22,61227.05,0.0,52333.223,57737.1,1.0
2018-01-02T17:00:00.0,2018-01-02T23:00:00.0,23,62006.426,0.0,50931.348,59935.777,1.0
2018-01-02T18:00:00.0,2018-01-03T00:00:00.0,0,61617.457,1.0,50162.703,62234.4,0.9812771835566081
2018-01-02T19:00:00.0,2018-01-03T01:00:00.0,1,60635.38,0.0,40659.773,58583.16,1.0
2018-01-02T20:00:00.0,2018-01-03T02:00:00.0,2,58624.113,1.0,42718.953,60293.99,0.9702013714565603
2018-01-02T21:00:00.0,2018-01-03T03:00:00.0,3,56163.26,1.0,44767.633,59962.645,0.8775293628389959
2018-01-02T22:00:00.0,2018-01-03T04:00:00.0,4,54507.656,1.0,44114.883,56515.1,0.9420380459683938
2018-01-02T23:00:00.0,2018-01-03T05:00:00.0,5,53809.484,1.0,41826.19,55378.52,0.962843187959132
2018-01-03T00:00:00.0,2018-01-03T06:00:00.0,6,53711.312,0.0,46035.098,52016.742,1.0
2018-01-03T01:00:00.0,2018-01-03T07:00:00.0,7,54147.562,1.0,42336.793,56711.01,0.9326348100487686
2018-01-03T02:00:00.0,2018-01-03T08:00:00.0,8,55067.707,1.0,42804.164,58432.82,0.9072618383140492
2018-01-03T03:00:00.0,2018-01-03T09:00:00.0,9,56766.73,0.0,47980.46,56409.367,1.0
2018-01-03T04:00:00.0,2018-01-03T10:00:00.0,10,59794.047,0.0,49985.934,56286.902,1.0
2018-01-03T05:00:00.0,2018-01-03T11:00:00.0,11,62592.457,0.0,50956.2,60140.062,1.0
2018-01-03T06:00:00.0,2018-01-03T12:00:00.0,12,62527.234,0.0,52821.855,59935.934,1.0
2018-01-03T07:00:00.0,2018-01-03T13:00:00.0,13,60341.684,1.0,49482.695,62891.133,0.9251788737162848
2018-01-03T08:00:00.0,2018-01-03T14:00:00.0,14,57474.746,1.0,50777.914,60154.098,0.8405551483626903
2018-01-03T09:00:00.0,2018-01-03T15:00:00.0,15,54254.86,1.0,49633.965,55848.152,0.8714452336563792
2018-01-03T10:00:00.0,2018-01-03T16:00:00.0,16,51127.01,1.0,45821.406,52603.51,0.9053847045191198
2018-01-03T11:00:00.0,2018-01-03T17:00:00.0,17,48207.92,1.0,40399.62,52891.965,0.719648122392211
2018-01-03T12:00:00.0,2018-01-03T18:00:00.0,18,45848.957,1.0,38413.63,45930.105,0.9881573396005767
2018-01-03T13:00:00.0,2018-01-03T19:00:00.0,19,43885.043,1.0,38688.52,46697.582,0.755649538000803
2018-01-03T14:00:00.0,2018-01-03T20:00:00.0,20,42971.09,1.0,37398.65,43655.48,0.9651293394145148
2018-01-03T15:00:00.0,2018-01-03T21:00:00.0,21,43655.92,1.0,39539.875,46317.95,0.6911179765825984
2018-01-03T16:00:00.0,2018-01-03T22:00:00.0,22,47538.86,0.0,40037.777,45138.344,1.0
2018-01-03T17:00:00.0,2018-01-03T23:00:00.0,23,50126.844,0.0,39789.215,48154.934,1.0
2018-01-03T18:00:00.0,2018-01-04T00:00:00.0,0,51028.316,0.0,40725.1,50487.875,1.0
2018-01-03T19:00:00.0,2018-01-04T01:00:00.0,1,51428.535,1.0,40052.016,56004.75,0.8393086400092655
2018-01-03T20:00:00.0,2018-01-04T02:00:00.0,2,50596.004,1.0,40028.47,53753.88,0.8953341547560376
2018-01-03T21:00:00.0,2018-01-04T03:00:00.0,3,48942.613,1.0,40618.59,55332.008,0.6201535934390057
2018-01-03T22:00:00.0,2018-01-04T04:00:00.0,4,47708.13,1.0,38314.543,51617.36,0.8312207909447589
2018-01-03T23:00:00.0,2018-01-04T05:00:00.0,5,47265.277,1.0,40045.44,51489.723,0.7286911818564087
2018-01-04T00:00:00.0,2018-01-04T06:00:00.0,6,47277.105,1.0,36461.68,49094.047,0.9511609429812352
2018-01-04T01:00:00.0,2018-01-04T07:00:00.0,7,47762.516,1.0,35631.793,53019.45,0.8211083448275865
2018-01-04T02:00:00.0,2018-01-04T08:00:00.0,8,48646.785,1.0,35290.117,54922.996,0.7992499208919354
2018-01-04T03:00:00.0,2018-01-04T09:00:00.0,9,50577.61,1.0,40560.81,53690.582,0.8893599042950355
2018-01-04T04:00:00.0,2018-01-04T10:00:00.0,10,53716.996,1.0,44579.57,55412.15,0.9448278722917303
2018-01-04T05:00:00.0,2018-01-04T11:00:00.0,11,56824.42,1.0,45476.668,57858.207,0.9733003882579665
2018-01-04T06:00:00.0,2018-01-04T12:00:00.0,12,56826.05,1.0,46890.77,57342.613,0.981564486655878
2018-01-04T07:00:00.0,2018-01-04T13:00:00.0,13,54353.746,1.0,42678.76,61393.258,0.7177531987441342
2018-01-04T08:00:00.0,2018-01-04T14:00:00.0,14,51007.082,1.0,46335.684,58263.57,0.30708200125693375
2018-01-04T09:00:00.0,2018-01-04T15:00:00.0,15,47980.58,1.0,45862.45,55348.09,0.09901077050538563
2018-01-04T10:00:00.0,2018-01-04T16:00:00.0,16,45368.457,1.0,42686.96,51817.48,0.16857133824012968
2018-01-04T11:00:00.0,2018-01-04T17:00:00.0,17,43164.473,1.0,32683.469,49818.258,0.6983226021208806
2018-01-04T12:00:00.0,2018-01-04T18:00:00.0,18,41524.906,1.0,32567.156,46847.625,0.7231096858354169
2018-01-04T13:00:00.0,2018-01-04T19:00:00.0,19,40474.85,1.0,31999.63,46600.242,0.6459356537831873
2018-01-04T14:00:00.0,2018-01-04T20:00:00.0,20,40544.082,1.0,32666.066,46202.11,0.648590366995957
2018-01-04T15:00:00.0,2018-01-04T21:00:00.0,21,41734.246,1.0,31770.908,47085.855,0.7581833460656991
2018-01-04T16:00:00.0,2018-01-04T22:00:00.0,22,45006.832,1.0,36276.543,45250.64,0.9853630156526371
2018-01-04T17:00:00.0,2018-01-04T23:00:00.0,23,46491.465,1.0,33512.246,50324.227,0.8971075490013629
2018-01-04T18:00:00.0,2018-01-05T00:00:00.0,0,46756.99,1.0,34734.105,52374.92,0.8008322851305467
2018-01-04T19:00:00.0,2018-01-05T01:00:00.0,1,46429.16,1.0,35080.4,54748.25,0.639961054550305
2018-01-04T20:00:00.0,2018-01-05T02:00:00.0,2,44933.59,1.0,34926.074,53946.625,0.5484028235659154
