2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
35383.285,33542.96,33013.562,36664.363,37727.91,40072.8,42184.902,45636.15,48969.805,54246.08,57097.004,60563.883,57024.1,58632.59,58755.965,56559.957,55282.223,54161.527,51671.473,49376.168,46626.69,44047.844,40925.56,38299.996,36163.914,34614.047,33535.92,35786.426,34294.098,35845.797,39510.4,44811.22,46863.26,47797.434,50668.426,54192.9,58266.39,57628.91,57385.54,57508.87,56327.953,54582.582,51877.305,49733.14,46920.58,42716.246,39475.94,37280.285
36569.75,34733.805,34203.18,37709.0,38822.496,41081.176,43299.42,46713.96,50055.86,55239.25,58086.773,61430.582,58204.34,59812.87,59862.16,57722.56,56465.15,55311.754,52851.496,50492.715,47793.668,45224.938,42110.11,39472.266,37351.027,35794.906,34729.973,36936.355,35475.42,37028.8,40688.203,45933.336,48065.137,48974.914,51856.08,55377.97,59415.883,58825.027,58578.145,58688.367,57513.812,55773.543,53065.086,50906.227,48108.867,43898.21,40660.043,38454.758
37322.527,35489.355,34957.953,38371.793,39516.977,41720.957,44006.547,47397.8,50744.926,55869.387,58714.75,61980.473,58953.164,60561.723,60564.004,58460.195,57215.68,56041.54,53600.184,51201.133,48534.074,45971.766,42861.67,40216.035,38104.21,36544.12,35487.562,37665.953,36224.938,37779.38,41435.48,46645.285,48827.688,49721.984,52609.605,56129.86,60145.195,59583.926,59334.816,59436.72,58266.203,56529.168,53818.69,51650.51,48862.8,44648.13,41411.32,39199.92
37888.812,36057.727,35525.742,38870.383,40039.406,42202.242,44538.492,47912.227,51263.285,56343.414,59187.152,62394.133,59516.473,61125.055,61091.973,59015.09,57780.273,56590.523,54163.39,51734.043,49091.055,46533.58,43427.043,40775.543,38670.805,37107.73,36057.465,38214.797,36788.766,38344.008,41997.63,47180.855,49401.324,50283.98,53176.453,56695.473,60693.83,60154.816,59904.027,59999.676,58832.2,57097.598,54385.6,52210.41,49429.957,45212.266,41976.477,39760.477
38349.438,36520.055,35987.594,39275.945,40464.363,42593.73,44971.188,48330.67,51684.93,56729.0,59571.414,62730.617,59974.684,61583.28,61521.434,59466.453,58239.527,57037.082,54621.516,52167.527,49544.113,46990.566,43886.93,41230.66,39131.684,37566.18,36521.04,38661.242,37247.4,38803.293,42454.895,47616.5,49867.934,50741.117,53637.543,57155.56,61140.1,60619.19,60367.04,60457.598,59292.59,57559.97,54846.74,52665.844,49891.293,45671.145,42436.188,40216.45
38741.508,36913.566,36380.7,39621.15,40826.066,42926.945,45339.48,48686.832,52043.812,57057.19,59898.484,63017.016,60364.69,61973.305,61886.973,59850.633,58630.426,57417.17,55011.453,52536.492,49929.74,47379.535,44278.363,41618.035,39523.965,37956.39,36915.613,39041.234,37637.766,39194.215,42844.098,47987.3,50265.094,51130.215,54030.0,57547.164,61519.95,61014.445,60761.137,60847.363,59684.457,57953.523,55239.24,53053.49,50283.96,46061.723,42827.473,40604.55
39085.273,37258.598,36725.38,39923.82,41143.21,43219.113,45662.4,48999.117,52358.49,57344.953,60185.258,63268.133,60706.652,62315.277,62207.48,60187.484,58973.168,57750.438,55353.35,52860.0,50267.855,47720.586,44621.574,41957.688,39867.918,38298.53,37261.58,39374.414,37980.043,39536.977,43185.355,48312.42,50613.32,51471.375,54374.11,57890.527,61853.0,61361.008,61106.68,61189.11,60028.047,58298.59,55583.387,53393.38,50628.258,46404.184,43170.555,40944.84
39393.074,37567.535,37033.996,40194.83,41427.176,43480.71,45951.535,49278.734,52640.24,57602.61,60442.03,63492.977,61012.84,62621.477,62494.457,60489.094,59280.05,58048.84,55659.48,53149.66,50570.6,48025.953,44928.88,42261.81,40175.887,38604.88,37571.348,39672.74,38286.51,39843.88,43490.91,48603.53,50925.12,51776.844,54682.22,58197.965,62151.207,61671.312,61416.074,61495.1,60335.69,58607.56,55891.527,53697.707,50936.53,46710.82,43477.742,41249.527
39673.008,37848.5,37314.676,40441.297,41685.43,43718.625,46214.492,49533.03,52896.48,57836.938,60675.555,63697.465,61291.3,62899.95,62755.45,60763.4,59559.15,58320.22,55937.895,53413.098,50845.934,48303.676,45208.36,42538.39,40455.973,38883.49,37853.07,39944.05,38565.23,40122.996,43768.797,48868.28,51208.688,52054.656,54962.43,58477.566,62422.418,61953.523,61697.453,61773.39,60615.48,58888.55,56171.77,53974.484,51216.895,46989.688,43757.117,41526.633
39930.688,38107.13,37573.04,40668.17,41923.152,43937.63,46456.547,49767.113,53132.35,58052.637,60890.516,63885.695,61547.63,63156.285,62995.695,61015.895,59816.06,58570.027,56194.176,53655.594,51099.38,48559.32,45465.625,42792.99,40713.79,39139.95,38112.395,40193.797,38821.793,40379.92,44024.594,49111.984,51469.715,52310.383,55220.367,58734.94,62672.062,62213.297,61956.465,62029.555,60873.027,59147.203,56429.734,54229.258,51474.973,47246.39,44014.28,41781.703
40170.17,38347.5,37813.16,40879.03,42144.094,44141.164,46681.51,49984.664,53351.57,58253.105,61090.297,64060.633,61785.855,63394.523,63218.977,61250.562,60054.832,58802.2,56432.36,53880.965,51334.93,48796.914,45704.723,43029.605,40953.406,39378.3,38353.41,40425.906,39060.242,40618.707,44262.332,49338.48,51712.31,52548.055,55460.094,58974.145,62904.086,62454.73,62197.19,62267.633,61112.39,59387.598,56669.484,54466.043,51714.824,47484.965,44253.29,42018.77
40394.5,38572.656,38038.086,41076.543,42351.05,44331.824,46892.24,50188.453,53556.914,58440.89,61277.438,64224.504,62009.008,63617.684,63428.13,61470.383,60278.492,59019.676,56655.47,54092.074,51555.574,49019.47,45928.69,43251.254,41177.86,39601.57,38579.176,40643.33,39283.598,40842.383,44485.023,49550.645,51939.55,52770.688,55684.645,59198.21,63121.42,62680.887,62422.684,62490.645,61336.605,59612.777,56894.062,54687.84,51939.5,47708.445,44477.17,42240.832
40606.01,38784.945,38250.156,41262.77,42546.18,44511.586,47090.918,50380.594,53750.523,58617.94,61453.883,64379.008,62219.406,63828.09,63625.33,61677.637,60489.37,59224.727,56865.832,54291.12,51763.61,49229.31,46139.86,43460.23,41389.48,39812.082,38792.04,40848.324,39494.19,41053.273,44694.99,49750.684,52153.81,52980.594,55896.367,59409.473,63326.34,62894.113,62635.285,62700.91,61548.008,59825.086,57105.805,54896.965,52151.332,47919.152,44688.26,42450.2
40806.535,38986.207,38451.21,41439.324,42731.176,44682.01,47279.285,50562.754,53934.08,58785.797,61621.16,64525.49,62418.88,64027.566,63812.285,61874.13,60689.297,59419.125,57065.266,54479.83,51960.84,49428.25,46340.06,43658.355,41590.117,40011.656,38993.844,41042.67,39693.848,41253.21,44894.047,49940.332,52356.934,53179.598,56097.09,59609.758,63520.613,63096.27,62836.848,62900.258,61748.43,60026.37,57306.55,55095.227,52352.168,48118.914,44888.387,42648.7
40997.547,39177.92,38642.73,41607.5,42907.395,44844.348,47458.71,50736.27,54108.92,58945.688,61780.504,64665.02,62608.887,64217.582,63990.37,62061.297,60879.734,59604.3,57255.24,54659.582,52148.71,49617.75,46530.76,43847.082,41781.23,40201.766,39186.074,41227.8,39884.027,41443.664,45083.664,50120.98,52550.426,53369.16,56288.293,59800.547,63705.67,63288.836,63028.844,63090.145,61939.344,60218.105,57497.773,55284.082,52543.47,48309.2,45079.016,42837.777
