forecast_time,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
2018-07-18T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T01:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T02:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T03:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T04:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T05:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T06:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18T07:00:00.0,310.8503612,311.1761091,311.5208984,312.3917247,312.6859403,312.8943312,314.4699117,317.5730435,318.7058321,319.1757468,319.2332063,319.4100267,319.7852668,320.6152437,321.7252956,324.1157921,324.6059546,326.4100285,328.1687524,328.5100058,330.1995799,330.9927248,331.145586,331.4032762,331.7636223,332.0655058,334.3452826,335.255685,335.828356,336.6463105,336.6944756,337.4050068,339.0528411,339.4445931,341.352399,342.1646948,342.5845639,347.5876314,348.9427014,349.7993651,349.9919518,350.8366508,352.2196161,353.6041659,354.2738679,354.9370274,355.750516,357.2310932,357.2708472,358.3460689,361.3388281,363.6128598,363.6601385,365.2936685,367.8491457,369.2923648,370.6232896,371.4412035,373.9244613,374.1140548,375.5775576,376.8018908,377.1934374,382.3449101,383.1788939,384.3615437,386.2143891,387.9576354,388.7647398,391.3881998,392.8575316,393.2287102,395.5771717,396.6056894,397.699856,399.8089712,403.2344971,404.3353974,407.1922723,410.1406254,418.2102045,418.2266801,423.6608838,427.2201409,427.7970331,428.1890539,432.152522,435.5633167,435.6440537,435.7708788,445.3167357,453.7568187,456.2230184,458.9207695,463.613072,464.2958872,465.6362512,481.3850636,526.7889226
2018-07-18T08:00:00.0,505.592834,507.1033374,507.8076187,508.9835704,509.0754337,509.648052,509.8294988,510.6298253,510.6843188,510.7702144,512.5945307,512.9677201,514.0196888,515.3198578,516.9160478,520.5546088,520.8851458,521.0957144,522.8538099,523.2694787,523.2805462,525.6495999,525.9672107,525.9958269,526.8507361,531.6420251,533.6726175,533.7552737,534.2340913,534.8482622,534.9344271,535.6264661,535.8576568,537.0891723,537.9473487,539.8794771,545.4327741,548.9625266,552.2283799,552.5103825,555.1853376,557.2366416,557.873222,559.5058535,560.0595503,563.3175928,563.5276981,564.203165,565.8425585,566.8099626,571.2969923,572.4414586,573.658408,577.9689259,578.6769394,578.7584873,578.9328427,579.4669384,580.9020956,580.9610908,581.8000796,582.0047865,583.7182941,585.3721652,590.1174095,590.1262773,591.439507,591.7509798,594.3183982,594.638223,595.9336217,599.203588,599.3204992,599.3998795,600.4264733,601.41825,602.436204,605.6417813,609.5949257,611.3814332,613.622218,615.8949543,621.8706765,623.7228166,624.8593483,625.1795744,625.7140964,626.1671124,626.9651471,633.356345,635.3420631,638.4082266,640.8513644,646.8536133,648.6458208,651.0430496,652.7462019,659.2226491,676.3738582
2018-07-18T09:00:00.0,482.9644824,484.5871901,486.3141652,489.6456705,495.6686956,497.2862931,500.0852352,503.859413,507.4543596,509.5894594,509.8112139,512.2995093,518.3450168,521.6047541,522.4842199,523.091515,527.2732905,529.2986614,532.7591763,532.825678,533.4897967,536.4177755,538.9494735,540.7327659,541.1791295,541.9149088,543.9943702,549.058456,549.5923882,552.0907183,554.9478403,559.3907429,563.5448267,567.7697056,568.9856509,572.5192891,574.2486291,574.627601,574.7949452,577.5282021,580.6144938,581.277253,581.4691803,582.7720401,588.5190364,589.1149544,589.5974259,590.0868064,592.1617563,593.6950505,595.198822,595.4416635,601.8392295,602.7176669,606.2471965,608.0210883,608.6394229,609.3123407,615.6765179,616.4337082,617.0109215,622.5450863,625.5779598,626.8822797,629.7758508,635.3338123,637.7933463,639.2673733,642.636979,644.1222458,644.2367334,647.2764121,649.2793396,652.1476335,654.4500558,655.1762075,656.2142386,657.2514064,657.6810354,663.3587711,663.3991807,665.9690461,667.5562844,667.8377823,670.0648152,672.8262996,675.5452838,679.7632991,679.9983224,682.270323,688.9075023,695.1011165,695.791852,696.0943034,696.4989157,698.0324073,701.5142078,702.4212254,714.7816705
