2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.8503612,505.592834,482.9644824,484.4706612,568.396992,522.4341016,557.1831898,508.9042267,540.6941876,454.1093384,329.6566174,189.5811924,7.70104902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.7064514,506.587069,535.4279713,558.7573898,559.8539146,559.8960619,532.1506663,539.492993,481.4115217,512.2062641,373.7960454,173.7751902,11.86069555,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.1761091,507.1033374,484.5871901,494.7320681,568.8318713,523.7321288,557.5301008,508.943751,543.0649089,459.7090914,333.5692617,194.4752053,10.4388233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.4423701,507.1723452,537.3550865,560.2843562,561.1707833,560.9764558,534.0318764,542.5240878,486.671725,512.7201987,374.5355132,174.0892545,15.71709956,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5208984,507.8076187,486.3141652,507.047867,571.2009293,524.3616955,563.4527591,510.162985,543.4187874,464.7469984,333.8856433,204.1006338,11.38143679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.9974301,508.4801646,543.2212434,560.6656449,562.0366351,561.4598853,535.9085038,543.886034,487.8932734,515.0736575,377.095027,176.4868345,16.87064616,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.3917247,508.9835704,489.6456705,515.007609,571.6756905,537.005053,564.9295326,514.0724106,544.0739381,470.3278807,334.0648793,204.241796,11.91650755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.761044,508.6440532,545.1171873,562.5759256,562.5726655,565.2457627,536.1729464,544.2468501,488.9936805,515.3904513,383.6056553,176.5912857,16.87553349,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.6859403,509.0754337,495.6686956,516.2203651,574.2951572,537.0885763,572.6757395,520.6784725,546.0261273,470.6036594,337.0065249,207.4040312,13.89803571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.3514302,509.8229071,546.2573083,571.9278369,564.5117967,565.3578353,540.5017294,547.3694634,490.5560177,515.6423884,392.7823875,177.4264123,17.07160128,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.8943312,509.648052,497.2862931,516.2232205,574.3705159,537.5179024,572.6813555,520.6888938,551.1586325,470.9977835,337.6654162,208.8318852,14.68186412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.8228102,511.0365394,547.7523129,572.0822098,566.3738139,568.5215892,541.3686729,547.9050198,490.6867438,517.7840807,402.431149,179.6160259,17.96321858,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.4699117,509.8294988,500.0852352,516.2649573,575.4405287,537.605808,573.8063455,526.5605524,552.5889497,473.1459064,343.2733313,211.5511603,17.57198351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8591231,512.2499378,549.7143787,572.8707179,567.097459,568.5394245,542.223233,548.0085495,498.6293272,518.5461935,403.1888137,180.1596474,18.25476122,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.5730435,510.6298253,503.859413,516.2706014,575.473829,539.1745128,574.0233113,529.3754053,553.2769254,475.3443878,347.2672509,216.3381934,18.49346889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.321809,514.1290853,550.5099667,573.0666712,569.2798883,571.9860094,548.5942517,549.8963096,511.3487955,519.2094525,412.9427869,181.0619192,20.88546985,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.7058321,510.6843188,507.4543596,519.4047547,575.8442189,539.9647351,575.1986667,530.556644,553.7248994,477.5470543,349.460163,217.8805872,21.48980463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.3682502,514.1756429,552.3897999,573.0915487,570.0705118,572.9667258,550.0941372,550.1872002,513.697378,520.6213327,413.4001847,181.3389081,21.77261396,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.1757468,510.7702144,509.5894594,523.9781872,581.7263119,540.6118147,575.2803553,533.8541264,555.1188409,479.8701721,354.9254315,218.6666109,22.79858151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.6346255,514.3858873,554.8227259,573.397356,571.0927655,573.8107997,550.1885222,552.8605295,515.0162066,525.8376082,414.0359834,184.0461096,26.98880554,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.2332063,512.5945307,509.8112139,525.6080339,581.7746441,542.442123,576.8765381,536.0532982,556.0494843,488.3701434,354.9386483,221.0397293,25.46981454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.804876,515.57686,555.7795781,573.6387192,572.3623593,574.0762634,560.7557658,558.0889199,516.8916877,526.1773526,420.9096797,186.2207894,27.32469163,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.4100267,512.9677201,512.2995093,525.6115197,582.5940581,545.7792273,578.622905,536.6024485,556.6358514,488.774332,361.999278,226.4603537,26.78956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.2520603,518.0283453,556.0596498,574.0550911,572.6989217,574.0937488,563.3574526,559.85051,518.3760612,526.5724626,426.4603572,187.3035282,27.33269775,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.7852668,514.0196888,518.3450168,529.6041466,583.9534965,545.8522551,581.3145228,539.951558,557.7593908,493.1657867,366.1635188,226.6644544,29.07333673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.8464768,519.7173092,556.3750584,574.2275448,574.608528,575.3899379,565.6578985,561.7253667,519.4148469,529.2600924,429.4115194,187.862693,28.26673076,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.6152437,515.3198578,521.6047541,532.4894649,584.1497864,547.2325958,581.3921771,541.1651931,559.0249516,497.0382487,374.576664,238.4940868,31.32499506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.852679,520.1719574,560.1405868,574.3077596,578.4400026,575.4696734,565.9781317,564.4252845,528.5977568,529.5549521,433.501804,188.3132952,31.18007274,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.7252956,516.9160478,522.4842199,534.8041319,585.4711282,549.8075719,582.755566,541.7282608,561.6549376,497.8627945,375.1029311,244.2106413,45.01132279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.9041127,522.9459232,562.0117552,574.7224963,578.6656977,576.7809276,567.5128609,565.0431472,528.8606874,531.5137446,437.6677929,190.8987203,32.90144327,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.1157921,520.5546088,523.091515,535.5288453,585.9776326,551.7867483,583.2769134,543.0697206,562.1936646,500.0169164,376.1576991,247.5023233,46.17225728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4165079,523.0896648,562.0178221,575.5727004,583.2158166,578.3818288,568.1675757,565.2152098,530.4356332,532.5968005,441.4151344,191.8280833,34.75705857,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.6059546,520.8851458,527.2732905,539.3934233,586.4294727,551.9218682,585.1165205,543.5818784,562.2718982,500.4665594,380.615262,248.5612987,46.29933396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.06106,523.1514803,565.2069157,575.5852151,585.69744,580.8404435,568.3294188,566.1102321,532.852684,533.4183068,446.0062568,193.974802,36.61842419,0.0,0.0,0.0,0.0
