forecast_time,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
2018-07-18T00:00:00.0,4078.015724,4243.949123,4276.438269,5215.190054,5516.646781,6138.179231,6353.452843,6474.360644,6485.652456,6531.778781,6560.346369,6711.946561,6978.774713,7060.051175,7619.891938,7867.160183,7889.575654,7997.411719,8230.083121,8252.979929,8450.452786,8628.916845,8745.024415,8779.354567,8957.806557,9036.994089,9105.987948,9110.584319,9161.329794,9180.631733,9218.129205,9274.553762,9457.580011,9556.460001,9673.370027,9712.875831,9949.131805,10083.10411,10166.67844,10183.27481,10332.50493,10410.41858,10446.2468,10453.83184,10485.83576,10574.90976,10684.09908,10723.22084,10730.27713,10790.40707,10840.47878,10899.97333,10964.3284,10979.50634,11040.18541,11047.57935,11130.76324,11259.47227,11320.33914,11322.27682,11484.63352,11553.44731,11564.18271,11603.25532,11636.86311,11698.31332,11747.04176,11843.95145,11865.58653,11897.16937,11939.88547,11955.63013,12046.81441,12056.3887,12070.46279,12292.62852,12319.84104,12343.65508,12358.37383,12381.7395,12396.67843,12493.51337,12563.79426,12601.13765,12727.52116,12733.61305,12764.66288,12781.92308,12812.29646,12840.53332,12862.09326,13206.85523,13344.48727,13347.40906,13398.14892,13571.22353,13630.81639,13678.72817,13814.98714
2018-07-18T01:00:00.0,4826.977656,5187.784966,5227.323392,5555.10275,5557.97464,5846.379617,6229.453943,6262.898062,6360.130711,6580.355239,6598.761944,6677.509917,6868.106645,6893.874424,6973.660647,6988.370182,7035.23667,7396.39657,7655.793284,7728.623541,7771.98328,7785.076744,7972.434271,8044.779518,8084.261917,8163.64091,8231.861161,8359.604622,8389.496686,8418.25023,8510.669706,8541.752459,8790.233706,8799.350177,8816.616858,8878.56164,8906.405327,8991.219703,9004.262427,9147.938538,9237.478758,9265.066063,9319.664591,9324.291607,9510.99303,9527.26865,9661.293524,9679.326083,9782.859355,9947.289515,10020.51421,10182.90683,10235.57304,10504.26208,10573.8778,10747.8291,10825.19098,10878.45915,10906.1038,10936.17067,10975.88162,10999.761,11050.13424,11132.96158,11200.06348,11213.52537,11413.69735,11448.03768,11474.22554,11504.55727,11584.99508,11593.82142,11609.15923,11694.38535,11725.14999,11731.67749,11735.59057,11859.35548,12029.74226,12071.43103,12082.17326,12105.30724,12173.46624,12360.77857,12553.73691,12614.76886,12616.28768,12693.63443,12818.74154,12831.90163,12866.65416,12933.55558,13110.79017,13180.32116,13236.32958,13690.75766,13812.82002,13815.31241,13834.96042
2018-07-18T02:00:00.0,4076.21523,4359.393532,4802.954843,4828.533823,6096.848344,6236.459404,6399.496064,6492.154075,6673.254802,6815.553139,6943.809862,7214.191358,7322.465076,7367.942553,7426.797028,7519.878916,7548.268631,7830.829385,7983.039296,8014.25539,8171.869093,8329.827515,8409.277791,8432.248525,8504.325959,8654.480634,8745.525667,8836.654528,8992.444706,9075.139366,9096.804658,9108.874439,9115.563912,9158.950247,9176.864193,9197.770817,9237.421141,9309.573019,9421.084615,9451.8494,9909.960618,9926.948128,10081.75302,10085.2291,10179.7227,10359.28728,10470.97623,10526.79775,10697.13578,10727.61445,10773.74082,10807.42512,10815.74367,10874.63726,10881.39143,10883.09633,10889.26844,10947.54489,10952.31765,11003.49132,11017.71389,11065.70157,11075.56318,11078.69784,11171.33996,11253.14036,11263.6513,11294.93521,11361.16603,11373.71097,11467.6214,11474.0525,11481.27805,11494.34824,11494.47486,11505.40057,11577.45209,11604.0122,11677.47548,11696.2137,11752.96877,11754.08602,11759.81152,11905.21996,11914.08036,11945.93328,11988.11771,12088.52102,12187.12651,12294.70627,12305.05181,12335.67465,12363.51522,12415.65911,12451.41618,12621.17504,12663.80114,12666.15538,12725.98157
2018-07-18T03:00:00.0,4271.32698,4387.949138,4423.592015,4843.412815,4899.090116,4941.119912,5251.706508,5898.295135,6067.525121,6553.064681,6600.279566,6802.03776,6828.428931,6847.621517,6992.562224,7118.953076,7199.222089,7242.392945,7270.838825,7565.433759,7616.994019,7628.94956,7731.480555,7755.737518,7920.10405,7936.799857,8154.162023,8214.342303,8410.858205,8414.571364,8826.286833,8838.167612,8940.302594,8986.721443,9038.454926,9098.435332,9114.246352,9213.782904,9336.837651,9360.702156,9375.975356,9806.357987,9835.903308,9878.671741,9954.00837,10121.08239,10249.61105,10318.35051,10383.90203,10501.90358,10718.1172,10830.30984,10874.75626,10979.6795,11142.60724,11238.74293,11253.34262,11254.87974,11285.99387,11326.70769,11359.91749,11436.10622,11455.4847,11620.81251,11626.40514,11626.96093,11639.08857,11641.4695,11641.91588,11689.57604,11840.29832,11843.84993,11876.92747,11906.9524,12001.11097,12004.3891,12023.35187,12040.24282,12084.32426,12248.02782,12290.53317,12295.87281,12315.68094,12363.92399,12373.85045,12470.07201,12471.82123,12476.52388,12560.07747,12576.60838,12619.73184,12676.59286,12687.30974,12847.56132,12863.53896,12912.01412,12914.02169,12971.06778,13028.9933
2018-07-18T04:00:00.0,3869.458952,4428.640155,4430.051598,4438.548296,4510.114638,4591.225894,4692.940507,4715.230764,4854.859067,4854.949228,5579.425755,5820.476204,5876.22557,6108.120402,6181.433989,6323.624819,6431.404385,6528.477952,6685.619121,6723.787404,6789.881325,6974.092118,7069.676323,7366.556242,7404.389037,7528.487585,7549.572004,7599.101433,7691.602894,7822.892076,7876.309589,7893.133396,7948.137521,7955.657455,8058.000315,8069.009517,8103.596764,8182.726888,8546.127787,8583.542117,8695.397183,8738.761101,8802.961669,8813.947122,8862.673842,8907.365075,9065.578561,9105.518138,9142.240976,9143.643483,9145.516897,9187.040018,9243.528397,9376.384985,9496.499259,9624.104988,9693.381808,9758.444753,9760.874867,9778.758932,9878.966211,9908.554943,9920.293258,9952.905869,10236.37179,10245.57136,10265.9374,10276.00245,10309.01432,10533.88993,10555.20765,10574.74019,10627.88038,10674.05559,10815.30418,10888.28451,10994.07242,11244.95338,11251.09935,11253.54959,11265.95446,11431.13109,11434.94382,11470.62677,11483.02966,11559.11113,11570.02632,11688.14471,11705.23577,11740.73987,11761.6466,11820.93435,11828.04984,11842.95852,11882.60628,11945.83882,11954.06393,12080.79032,12095.74609
2018-07-18T05:00:00.0,3650.495382,3728.492149,3913.055505,4170.496783,5057.95899,5122.858786,5407.499508,5432.761464,5442.813424,5869.492614,5977.897297,6441.774872,6722.734732,6727.201905,6823.109944,6848.795221,7194.987689,7211.7001,7521.559803,7540.46917,7569.511442,7746.673507,7788.989212,7893.303747,8044.201972,8107.999318,8127.320432,8269.985143,8324.94615,8361.504272,8519.592601,8745.962176,8778.957459,8927.668592,8942.177836,9018.778763,9122.623356,9262.601735,9411.546944,9413.599273,9487.403247,9505.734894,9545.694334,9856.549422,9987.945034,10037.39303,10092.63572,10131.19665,10140.37238,10168.58416,10198.90649,10202.97739,10254.59362,10351.90617,10408.77726,10429.26271,10441.64643,10465.19142,10547.72688,10715.97091,10949.42703,11123.98521,11138.56342,11170.21638,11229.31196,11347.82166,11357.86304,11461.89726,11465.31136,11473.09136,11513.88964,11533.64491,11586.64109,11591.8505,11605.29808,11657.27375,11687.11392,11755.63637,11843.75216,11869.4996,11897.50342,11924.77466,11947.55007,11975.86376,12048.87325,12078.12411,12112.59608,12122.97207,12148.05349,12149.76628,12200.92393,12227.6575,12236.41599,12321.43756,12330.59363,12408.98666,12450.9822,12475.09209,12716.94414
2018-07-18T06:00:00.0,3978.816674,4173.455067,4202.673924,4232.915552,4255.169168,4289.391639,4529.782246,5189.73753,5430.988388,6270.573726,6292.502801,6605.601913,6672.610159,6731.150204,6816.065419,6937.972737,6956.85968,6958.807593,7009.175251,7071.614207,7231.737071,7333.271857,7405.722303,7422.577882,7434.537082,7457.904765,7583.648057,7587.539802,7665.960384,7702.359621,7798.266303,7833.580184,7850.094945,7943.768082,7964.747481,8036.364957,8076.066878,8181.287576,8199.293108,8211.854305,8240.391698,8249.043374,8264.503965,8369.411034,8378.551415,8522.726761,8556.62202,8564.230696,8664.942879,9052.431561,9054.85935,9077.08683,9155.158415,9252.211637,9281.047495,9390.798233,9392.58358,9428.376637,9502.626189,9536.120316,9664.22475,9669.093252,9796.643168,9922.813182,9967.253081,9991.672632,10026.87494,10053.05777,10090.05759,10090.57432,10132.84033,10193.62624,10413.00893,10436.13458,10489.49741,10543.83206,10546.05881,10677.12618,10696.3295,10719.65403,10742.73532,10826.38021,10927.94387,10967.46055,11010.49227,11020.56035,11058.08896,11088.51632,11093.01971,11232.24628,11308.01641,11351.7826,11401.99971,11443.34128,11555.22176,11571.30852,11616.33165,11669.35973,11694.86904
2018-07-18T07:00:00.0,2368.155227,2413.971173,2749.58953,3101.633032,3197.888557,3384.586602,3632.848846,3791.325288,4028.308774,4127.951688,4191.614664,4307.252473,4417.597092,4465.000137,4507.29613,4732.777869,4881.996534,4924.41615,4983.170498,5000.709034,5050.310617,5053.999861,5193.873939,5248.931643,5253.022018,5373.139686,5441.338898,5726.534746,5893.267959,5897.915826,5993.176226,6136.43342,6252.929526,6345.967029,6377.751538,6429.611274,6487.71241,6589.12263,6589.396452,6665.609385,6838.341646,6888.577971,7083.156066,7186.814083,7211.887776,7248.382921,7290.984619,7320.178277,7477.053866,7478.514406,7756.630733,7809.416879,7811.852339,8119.534235,8188.238911,8253.242964,8268.783849,8283.653369,8330.077375,8343.929289,8398.095693,8400.110595,8520.813428,8655.865978,8681.767691,8687.585404,8723.950419,8844.106034,8876.858939,8887.955948,9059.438855,9089.305376,9130.510041,9228.792325,9257.866526,9354.052344,9366.588418,9375.604528,9516.108603,9528.957145,9533.102832,9546.079989,9607.811878,9715.695739,9959.985452,10031.0893,10046.89382,10282.05802,10305.54637,10323.65822,10336.33744,10432.40903,10436.85167,10470.837,10590.60824,10627.62783,10927.11052,10940.17385,10958.66223
2018-07-18T08:00:00.0,1822.771867,1937.82708,2046.796519,2198.399,2284.133427,2319.686195,2343.188867,2444.524948,2468.451131,2540.315663,2548.619837,2666.62311,2812.172814,2840.170853,2946.370043,2962.639165,3029.154522,3106.178463,3186.330599,3203.468019,3238.668182,3279.917524,3302.71842,3313.291732,3359.57318,3595.898031,3619.777351,3722.077474,3782.352126,3825.419105,3875.765833,3903.160201,3993.647946,4019.124161,4099.361494,4149.309853,4181.595155,4211.887017,4211.913504,4242.11744,4253.528714,4261.885173,4414.598213,4453.325896,4479.731887,4509.335723,4550.550022,4569.965593,4610.753902,4621.532412,4745.129041,4788.843327,4792.261904,4811.63863,4865.887155,5029.443374,5037.499438,5123.307302,5176.33368,5224.760768,5303.230008,5415.730203,5452.412471,5464.434667,5507.471129,5573.728287,5581.227817,5584.832435,5669.788201,5720.6023,5859.249317,5864.798337,5890.882115,5964.652642,5974.897662,6037.491719,6038.937413,6087.217699,6150.123671,6151.604188,6211.320604,6248.984829,6251.424553,6271.777711,6279.033232,6338.543673,6341.120024,6346.512391,6357.158011,6402.615008,6438.741939,6443.136418,6455.042793,6558.083021,6575.087019,6583.071676,6597.284611,6635.507181,6764.220233
2018-07-18T09:00:00.0,1474.546848,1493.909413,1558.291515,1617.738016,1634.196124,1661.093647,1722.460248,1751.201701,1790.062571,1795.839773,1946.305487,2004.36486,2108.388458,2111.172495,2124.205373,2260.549035,2311.35467,2403.053292,2582.956563,2612.376856,2613.855093,2730.820499,2749.179674,2785.118996,2830.652691,2935.594348,2940.961567,2998.711567,3004.164479,3026.510988,3030.586356,3073.93964,3081.447661,3131.764476,3156.530024,3190.371232,3291.093001,3299.537898,3311.971037,3318.451789,3331.632935,3353.304822,3353.508331,3372.786372,3534.761147,3553.99206,3560.276097,3572.664225,3588.487591,3650.484969,3739.493479,3769.354623,3776.999838,3779.193178,3833.563048,3852.758019,3907.43051,3941.441818,3943.958173,3983.858555,3994.131756,3999.179456,4061.780062,4067.102914,4069.161138,4107.777685,4146.949677,4160.03657,4197.803925,4224.495691,4340.669631,4363.186419,4372.241288,4415.915159,4421.638037,4427.77728,4451.150921,4466.696034,4467.684304,4514.489633,4546.475613,4547.340273,4578.845886,4585.387144,4590.930761,4649.587087,4658.579406,4658.778639,4659.436859,4695.333803,4741.129068,4762.54341,4803.735386,4807.90043,4901.167168,4905.661292,4911.623575,4956.102594,4960.802833
