2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
4078.015724,4826.977656,4076.21523,4271.32698,3869.458952,3650.495382,3978.816674,2368.155227,1822.771867,1474.546848,836.3354102,505.274095,459.5959215,375.0720266,332.5697754,509.3267305,777.0933886,1036.831898,1258.833224,2247.923748,2607.493182,3543.28713,5331.286471,4548.073747,5225.156758,4235.374653,5381.540195,3263.419106,3297.741789,3124.17015,2542.704485,1258.172933,1073.033514,739.5702865,538.0061921,435.6936235,400.3843731,680.0689362,931.9790392,1117.851394,1394.572079,1296.868244,2227.433663,3447.97587,4935.016166,5016.098716,4751.241838,4818.067508
4243.949123,5187.784966,4359.393532,4387.949138,4428.640155,3728.492149,4173.455067,2413.971173,1937.82708,1493.909413,928.0156411,560.7601383,486.5884514,398.0515837,341.5673692,512.9968079,798.1042288,1104.043849,1289.054781,2394.844557,2735.787092,3715.358284,5655.272855,4650.168365,5407.314157,4317.657672,5408.945461,4180.53721,3781.222527,4401.987249,3001.639517,1413.111875,1291.297458,820.6806694,630.2657019,494.8310571,434.8711937,704.1444283,947.9099569,1146.848683,1414.670455,1376.65372,2338.438656,3581.436499,5228.891429,5327.322382,4816.551899,5084.389177
4276.438269,5227.323392,4802.954843,4423.592015,4430.051598,3913.055505,4202.673924,2749.58953,2046.796519,1558.291515,983.8405879,567.6072477,501.4864864,411.8335514,361.9682436,520.1384159,881.6262187,1104.891208,1290.150119,2410.452582,2880.674375,3867.105436,5841.765226,4731.562045,5566.571938,4518.441017,5601.80726,4254.113493,3889.932206,4593.097367,4215.207934,1917.756852,1392.025242,1015.663816,638.4223414,495.6777672,498.8005598,763.4557363,982.0770096,1150.154676,1454.505408,1400.716566,2403.909906,3595.206438,5305.736321,5362.768695,5006.336527,5263.526841
5215.190054,5555.10275,4828.533823,4843.412815,4438.548296,4170.496783,4232.915552,3101.633032,2198.399,1617.738016,1003.158643,610.5369822,508.8447376,439.326016,414.9865847,530.5869562,894.0030234,1105.164758,1300.774369,2414.01114,3238.033371,3938.085302,5937.972361,4813.982271,5803.024935,4661.222919,5739.322914,5085.612727,3893.102488,4754.378146,4290.422094,2006.291015,1500.102343,1331.197384,700.0935703,609.864812,537.7537975,794.1765117,1063.567381,1220.954514,1466.243477,1562.869112,2405.436588,3653.045422,5356.573501,5684.221197,5263.331847,5720.461846
5516.646781,5557.97464,6096.848344,4899.090116,4510.114638,5057.95899,4255.169168,3197.888557,2284.133427,1634.196124,1016.595817,615.9672964,560.045472,444.3907343,428.2923819,533.6257747,906.3405954,1146.071522,1302.224457,2454.045131,3726.990283,4241.059565,6059.133239,4997.141725,6105.622448,4767.193741,5888.052992,5936.167067,3921.885384,4979.599722,4321.185464,2190.391782,1524.227093,1352.322784,807.3594276,659.1812487,591.771574,804.2122299,1137.438007,1224.414267,1484.254336,1573.462798,2418.908492,3693.027633,5451.44917,5847.719264,5281.657062,5772.851857
6138.179231,5846.379617,6236.459404,4941.119912,4591.225894,5122.858786,4289.391639,3384.586602,2319.686195,1661.093647,1037.258631,625.028638,562.6933473,478.2363611,429.057335,546.3814118,922.1107571,1154.944334,1307.589131,2483.043287,3778.312884,4409.555865,6257.36754,5550.685981,6410.068879,5142.866229,6269.037229,5994.642077,4174.087174,5718.873155,4789.228867,2614.734626,2272.359632,1436.460048,1089.088631,697.2600665,593.6995443,817.9654677,1157.418548,1256.534816,1503.8887,1580.81951,2521.424784,3716.747948,5938.038294,6538.203255,5407.038266,6250.80806
6353.452843,6229.453943,6399.496064,5251.706508,4692.940507,5407.499508,4529.782246,3632.848846,2343.188867,1722.460248,1098.76961,637.7403529,568.4395118,485.1928433,440.4017949,563.703252,940.3274882,1171.482172,1312.584821,2511.386791,3785.643368,4442.863665,6294.912134,5692.112163,6735.722676,5197.419989,6608.249309,6210.02325,4342.932871,5756.582812,4909.195872,2757.717283,2379.960599,1597.986201,1184.01218,743.4564597,602.6223955,818.5292234,1163.085503,1275.626833,1514.354689,1610.680875,2604.770235,3760.765345,5952.496308,6806.435203,5840.014807,6310.668534
6474.360644,6262.898062,6492.154075,5898.295135,4715.230764,5432.761464,5189.73753,3791.325288,2444.524948,1751.201701,1184.461701,656.1394525,572.3164175,504.0697541,491.5142373,602.2004272,950.0045476,1172.713431,1349.108797,2519.614492,3794.800328,4505.251836,6465.267881,6624.089748,6743.36078,5528.269668,6794.177664,6243.764617,4847.05935,5918.584335,4921.7761,2917.149896,2381.586467,1674.922944,1265.151648,820.6282757,622.9639288,824.3642495,1176.952822,1311.535741,1571.100071,1641.8559,2621.819762,3796.136533,6235.601448,6985.145215,6449.148654,6698.885762
6485.652456,6360.130711,6673.254802,6067.525121,4854.859067,5442.813424,5430.988388,4028.308774,2468.451131,1790.062571,1188.061273,675.5002272,573.8994136,565.5953647,497.4787727,615.2609414,966.6428659,1175.780486,1375.870668,2585.150789,3800.695853,4906.866924,6486.912674,6741.574889,6828.959784,5963.981968,7013.831949,6436.485178,5221.958503,5970.126246,5227.622287,2947.564324,2512.224187,1729.775679,1312.829406,876.5375437,772.5178501,864.1435799,1223.769535,1385.696648,1576.051905,1649.052651,2684.327005,3820.463716,6324.71889,7086.326234,6785.216676,6931.231286
6531.778781,6580.355239,6815.553139,6553.064681,4854.949228,5869.492614,6270.573726,4127.951688,2540.315663,1795.839773,1214.47344,701.6803151,639.4931215,581.2374686,497.9775259,630.9041552,977.316959,1185.322161,1409.095211,2679.802397,3869.545847,5107.469046,6677.727527,6798.409563,7036.305083,6487.960215,7168.144818,6685.035438,5552.478881,5997.950174,5304.724403,3183.539712,2531.879997,2166.124739,1345.118202,906.979088,788.966782,869.0945433,1244.119476,1386.062728,1665.739163,1690.377934,2780.200789,3821.241492,6465.09843,7177.560149,7014.511851,6942.220671
