LocalDateTime,DateTime,hour,minute,BA_total,solar_check,lower_solar,upper_solar,quantile,variance,extracted_hour
2018-12-31T20:00:00.0,2019-01-01T00:00:00.0,0,0,0.0,1.0,0.0,449.68782825,0.01,19157.175890034494,20
2018-12-31T20:05:00.0,2019-01-01T00:05:00.0,0,5,0.0,1.0,0.0,449.68782825,0.01,19157.175890034494,20
2018-12-31T20:10:00.0,2019-01-01T00:10:00.0,0,10,0.0,1.0,0.0,449.68782825,0.01,19157.175890034494,20
2018-12-31T20:15:00.0,2019-01-01T00:15:00.0,0,15,0.0,1.0,0.0,449.68782825,0.01,17672.841394372197,20
2018-12-31T20:20:00.0,2019-01-01T00:20:00.0,0,20,0.0,1.0,0.0,449.68782825,0.01,17672.841394372197,20
2018-12-31T20:25:00.0,2019-01-01T00:25:00.0,0,25,0.0,1.0,0.0,449.68782825,0.01,17672.841394372197,20
2018-12-31T20:30:00.0,2019-01-01T00:30:00.0,0,30,0.0,0.0,91.8710194665169,201.76944173601157,0.0,581.4878314895213,20
2018-12-31T20:35:00.0,2019-01-01T00:35:00.0,0,35,0.0,0.0,91.8710194665169,201.76944173601157,0.0,581.4878314895213,20
2018-12-31T20:40:00.0,2019-01-01T00:40:00.0,0,40,0.0,0.0,91.8710194665169,201.76944173601157,0.0,581.4878314895213,20
2018-12-31T20:45:00.0,2019-01-01T00:45:00.0,0,45,0.0,0.0,76.79418255285559,198.2549563857649,0.0,710.2803549692508,20
2018-12-31T20:50:00.0,2019-01-01T00:50:00.0,0,50,0.0,0.0,76.79418255285559,198.2549563857649,0.0,710.2803549692508,20
2018-12-31T20:55:00.0,2019-01-01T00:55:00.0,0,55,0.0,0.0,76.79418255285559,198.2549563857649,0.0,710.2803549692508,20
2018-12-31T21:00:00.0,2019-01-01T01:00:00.0,1,0,0.0,0.0,104.17517074113908,192.88185274319653,0.0,378.85269929918286,21
2018-12-31T21:05:00.0,2019-01-01T01:05:00.0,1,5,0.0,0.0,104.17517074113908,192.88185274319653,0.0,378.85269929918286,21
2018-12-31T21:10:00.0,2019-01-01T01:10:00.0,1,10,0.0,0.0,104.17517074113908,192.88185274319653,0.0,378.85269929918286,21
2018-12-31T21:15:00.0,2019-01-01T01:15:00.0,1,15,0.0,0.0,111.80329263614301,182.1222404785924,0.0,238.0687784135007,21
2018-12-31T21:20:00.0,2019-01-01T01:20:00.0,1,20,0.0,0.0,111.80329263614301,182.1222404785924,0.0,238.0687784135007,21
2018-12-31T21:25:00.0,2019-01-01T01:25:00.0,1,25,0.0,0.0,111.80329263614301,182.1222404785924,0.0,238.0687784135007,21
2018-12-31T21:30:00.0,2019-01-01T01:30:00.0,1,30,0.0,0.0,118.55982516670632,188.74917546349928,0.0,237.19206739172296,21
2018-12-31T21:35:00.0,2019-01-01T01:35:00.0,1,35,0.0,0.0,118.55982516670632,188.74917546349928,0.0,237.19206739172296,21
2018-12-31T21:40:00.0,2019-01-01T01:40:00.0,1,40,0.0,0.0,118.55982516670632,188.74917546349928,0.0,237.19206739172296,21
2018-12-31T21:45:00.0,2019-01-01T01:45:00.0,1,45,0.0,0.0,99.63414511158848,192.476413262833,0.0,415.0010535453621,21
2018-12-31T21:50:00.0,2019-01-01T01:50:00.0,1,50,0.0,0.0,99.63414511158848,192.476413262833,0.0,415.0010535453621,21
2018-12-31T21:55:00.0,2019-01-01T01:55:00.0,1,55,0.0,0.0,99.63414511158848,192.476413262833,0.0,415.0010535453621,21
2018-12-31T22:00:00.0,2019-01-01T02:00:00.0,2,0,0.0,0.0,91.97350020709538,184.16049517526213,0.0,409.16363908186395,22
2018-12-31T22:05:00.0,2019-01-01T02:05:00.0,2,5,0.0,0.0,91.97350020709538,184.16049517526213,0.0,409.16363908186395,22
2018-12-31T22:10:00.0,2019-01-01T02:10:00.0,2,10,0.0,0.0,91.97350020709538,184.16049517526213,0.0,409.16363908186395,22
2018-12-31T22:15:00.0,2019-01-01T02:15:00.0,2,15,0.0,1.0,0.0,312.37574307993214,0.01,5874.270056356356,22
2018-12-31T22:20:00.0,2019-01-01T02:20:00.0,2,20,0.0,1.0,0.0,312.37574307993214,0.01,5874.270056356356,22
2018-12-31T22:25:00.0,2019-01-01T02:25:00.0,2,25,0.0,1.0,0.0,312.37574307993214,0.01,5874.270056356356,22
2018-12-31T22:30:00.0,2019-01-01T02:30:00.0,2,30,0.0,1.0,0.0,322.8019721496919,0.01,6936.101865554636,22
2018-12-31T22:35:00.0,2019-01-01T02:35:00.0,2,35,0.0,1.0,0.0,322.8019721496919,0.01,6936.101865554636,22
2018-12-31T22:40:00.0,2019-01-01T02:40:00.0,2,40,0.0,1.0,0.0,322.8019721496919,0.01,6936.101865554636,22
2018-12-31T22:45:00.0,2019-01-01T02:45:00.0,2,45,0.0,1.0,0.0,333.04887819899886,0.01,7874.74824475338,22
2018-12-31T22:50:00.0,2019-01-01T02:50:00.0,2,50,0.0,1.0,0.0,333.04887819899886,0.01,7874.74824475338,22
2018-12-31T22:55:00.0,2019-01-01T02:55:00.0,2,55,0.0,1.0,0.0,333.04887819899886,0.01,7874.74824475338,22
2018-12-31T23:00:00.0,2019-01-01T03:00:00.0,3,0,0.0,1.0,0.0,364.11435011308697,0.01,9737.839260138884,23
2018-12-31T23:05:00.0,2019-01-01T03:05:00.0,3,5,0.0,1.0,0.0,364.11435011308697,0.01,9737.839260138884,23
2018-12-31T23:10:00.0,2019-01-01T03:10:00.0,3,10,0.0,1.0,0.0,364.11435011308697,0.01,9737.839260138884,23
2018-12-31T23:15:00.0,2019-01-01T03:15:00.0,3,15,0.0,1.0,0.0,377.4601640183371,0.01,10532.295924053808,23
2018-12-31T23:20:00.0,2019-01-01T03:20:00.0,3,20,0.0,1.0,0.0,377.4601640183371,0.01,10532.295924053808,23
2018-12-31T23:25:00.0,2019-01-01T03:25:00.0,3,25,0.0,1.0,0.0,377.4601640183371,0.01,10532.295924053808,23
2018-12-31T23:30:00.0,2019-01-01T03:30:00.0,3,30,0.0,0.0,2.9970622472703425,98.3847874743671,0.0,438.06917984379834,23
2018-12-31T23:35:00.0,2019-01-01T03:35:00.0,3,35,0.0,0.0,2.9970622472703425,98.3847874743671,0.0,438.06917984379834,23
2018-12-31T23:40:00.0,2019-01-01T03:40:00.0,3,40,0.0,0.0,2.9970622472703425,98.3847874743671,0.0,438.06917984379834,23
2018-12-31T23:45:00.0,2019-01-01T03:45:00.0,3,45,0.0,1.0,0.0,96.09462624670431,0.01,489.4093614359549,23
2018-12-31T23:50:00.0,2019-01-01T03:50:00.0,3,50,0.0,1.0,0.0,96.09462624670431,0.01,489.4093614359549,23
2018-12-31T23:55:00.0,2019-01-01T03:55:00.0,3,55,0.0,1.0,0.0,96.09462624670431,0.01,489.4093614359549,23
2019-01-01T00:00:00.0,2019-01-01T04:00:00.0,4,0,0.0,0.0,0.5386897458769582,74.25441144024762,0.0,261.62422757252284,0
2019-01-01T00:05:00.0,2019-01-01T04:05:00.0,4,5,0.0,0.0,0.5386897458769582,74.25441144024762,0.0,261.62422757252284,0
2019-01-01T00:10:00.0,2019-01-01T04:10:00.0,4,10,0.0,0.0,0.5386897458769582,74.25441144024762,0.0,261.62422757252284,0
2019-01-01T00:15:00.0,2019-01-01T04:15:00.0,4,15,0.0,1.0,0.0,77.22253274600322,0.01,310.6899236920117,0
2019-01-01T00:20:00.0,2019-01-01T04:20:00.0,4,20,0.0,1.0,0.0,77.22253274600322,0.01,310.6899236920117,0
2019-01-01T00:25:00.0,2019-01-01T04:25:00.0,4,25,0.0,1.0,0.0,77.22253274600322,0.01,310.6899236920117,0
2019-01-01T00:30:00.0,2019-01-01T04:30:00.0,4,30,0.0,0.0,5.991983476504792,8.128517946062523,0.0,0.2197746126836151,0
2019-01-01T00:35:00.0,2019-01-01T04:35:00.0,4,35,0.0,0.0,5.991983476504792,8.128517946062523,0.0,0.2197746126836151,0
2019-01-01T00:40:00.0,2019-01-01T04:40:00.0,4,40,0.0,0.0,5.991983476504792,8.128517946062523,0.0,0.2197746126836151,0
